class,type1,type2_id,cycle,results,tag
1,book,1,pre_cycle,ac,norm
1,book,1,pre_cycle,c,norm
1,book,1,pre_cycle,c,norm
1,book,1,pre_cycle,c,norm
1,book,1,pre_cycle,ac,norm
1,book,1,pre_cycle,ic,norm
1,book,2,pre_cycle,ic,norm
1,book,2,pre_cycle,c,norm
1,book,2,pre_cycle,ac,norm
1,book,3,pre_cycle,c,norm
1,book,3,pre_cycle,ic,norm
1,book,3,pre_cycle,c,norm
1,book,3,pre_cycle,c,new
1,book,4,pre_cycle,c,norm
1,book,4,pre_cycle,ac,norm
1,book,4,pre_cycle,c,norm
1,book,4,pre_cycle,c,norm
1,book,4,pre_cycle,ac,hard
1,book,5,pre_cycle,ic,norm
1,book,5,pre_cycle,c,norm
1,book,5,pre_cycle,c,norm
1,book,5,pre_cycle,c,norm
1,book,5,pre_cycle,ac,norm
1,book,5,pre_cycle,ac,norm
1,book,6,pre_cycle,ac,norm
1,book,6,pre_cycle,c,norm
1,book,6,pre_cycle,c,norm
1,book,6,pre_cycle,c,norm
1,book,7,pre_cycle,c,norm
1,book,7,pre_cycle,ic,norm
1,book,7,pre_cycle,c,norm
1,book,7,pre_cycle,ic,norm
1,book,8,pre_cycle,ic,norm
1,book,8,pre_cycle,c,norm
1,book,8,pre_cycle,ic,norm
1,book,8,pre_cycle,ac,hard
1,CSAT,1,pre_cycle,c,norm
1,CSAT,1,pre_cycle,c,norm
1,CSAT,2,pre_cycle,c,norm
1,CSAT,2,pre_cycle,c,norm
2,book,1,pre_cycle,c,norm
2,book,1,pre_cycle,c,norm
2,book,1,pre_cycle,c,norm
2,book,1,pre_cycle,c,norm
2,book,1,pre_cycle,ic,norm
2,book,1,pre_cycle,ic,hard
2,book,2,pre_cycle,c,norm
2,book,2,pre_cycle,c,norm
2,book,2,pre_cycle,c,new
2,book,3,pre_cycle,c,norm
2,book,3,pre_cycle,c,norm
2,book,3,pre_cycle,ac,norm
2,book,4,pre_cycle,ic,norm
2,book,4,pre_cycle,c,norm
2,book,4,pre_cycle,c,norm
2,book,4,pre_cycle,ac,norm
2,book,4,pre_cycle,ic,norm
2,book,4,pre_cycle,ic,norm
2,book,5,pre_cycle,c,norm
2,book,5,pre_cycle,c,norm
2,book,5,pre_cycle,ac,norm
2,book,6,pre_cycle,ic,norm
2,book,6,pre_cycle,ac,norm
2,book,6,pre_cycle,ic,norm
2,book,6,pre_cycle,ic,norm
2,book,6,pre_cycle,c,norm
2,CSAT,1,1,c,norm
2,CSAT,1,2,c,norm
2,CSAT,2,3,c,norm
3,book,1,4,c,norm
3,book,1,5,c,norm
3,book,1,1,ac,norm
3,book,1,2,c,norm
3,book,2,3,ac,norm
3,book,2,4,c,norm
3,book,2,5,c,norm
3,book,3,1,c,norm
3,book,3,2,c,norm
3,book,3,3,ac,norm
3,book,3,4,c,norm
3,book,3,5,c,norm
3,book,3,1,ic,norm
3,book,4,2,ac,norm
3,book,4,3,ic,norm
3,book,4,4,c,norm
3,book,4,5,c,norm
3,book,5,1,ic,norm
3,book,5,2,ic,norm
3,book,5,3,ic,norm
3,book,5,4,c,norm
3,book,5,5,c,norm
3,book,5,1,ac,hard
3,CSAT,1,2,c,norm
3,CSAT,1,3,c,norm
3,CSAT,2,4,c,norm
3,CSAT,2,5,c,norm
4,book,1,1,ic,norm
4,book,1,2,ic,norm
4,book,2,3,ic,norm
4,book,2,4,ac,norm
4,book,2,5,ac,norm
4,book,2,1,ic,norm
4,book,2,2,c,norm
4,book,2,3,ac,norm
4,book,3,4,c,norm
4,book,3,5,ic,norm
4,book,3,1,ac,norm
4,book,4,2,ac,norm
4,book,4,3,c,norm
4,book,4,4,c,norm
4,book,4,5,ac,norm
4,book,5,1,c,norm
4,book,5,2,c,norm
4,book,5,3,c,norm
4,book,5,4,c,norm
4,book,5,5,c,norm
4,book,6,1,c,norm
4,book,6,2,ac,norm
4,book,6,3,c,norm
4,book,6,4,ic,hard
4,book,7,5,c,norm
4,book,7,1,c,norm
4,book,7,2,c,norm
4,book,7,3,ac,new
4,CSAT,1,4,c,norm
4,CSAT,1,5,c,norm
4,CSAT,2,1,c,norm
4,CSAT,2,2,ac,norm
5,book,1,3,c,norm
5,book,1,4,c,norm
5,book,1,5,c,norm
5,book,1,1,c,norm
5,book,1,2,ic,new
5,book,2,3,c,norm
5,book,2,4,ac,norm
5,book,2,5,c,norm
5,book,2,1,c,norm
5,book,2,2,c,norm
5,book,2,3,c,norm
5,book,2,4,ac,norm
5,book,2,5,c,norm
5,book,2,1,ic,hard
5,book,3,2,ac,norm
5,book,3,3,c,norm
5,book,3,4,c,norm
5,book,3,5,ac,norm
5,book,4,1,ac,norm
5,book,4,2,c,norm
5,book,4,3,ic,norm
5,book,5,4,ac,norm
5,book,5,5,c,norm
5,book,5,1,c,norm
5,book,5,2,c,norm
5,book,5,3,c,norm
5,book,5,4,ic,norm
5,book,5,5,c,new
5,book,6,1,c,norm
5,book,6,2,c,norm
5,book,6,3,c,norm
5,book,6,4,c,norm
5,book,6,5,ac,norm